step,portfolio_value,price,position,balance,shares,reward,action
150,100450.24195233,235.595,매수,0.0023138300177834026,426.3683,-0.05194199337737654,0.26327994
151,100375.62749983,235.42,매수,0.0023138300177834026,426.3683,-0.037140006360267125,0.3851895
152,100392.68223183001,235.46,매수,0.0023138300177834026,426.3683,0.008495454735778878,0.8357927
153,100375.41431568001,235.4195,매수,0.0023138300177834026,426.3683,-0.008600186670041633,0.44837078
154,100269.03542483,235.17,매수,0.0023138300177834026,426.3683,-0.05299051145903757,0.32613873
155,100269.03542483,235.17,매수,0.0023138300177834026,426.3683,0.0,0.4702071
156,100200.81649683001,235.01,매수,0.0023138300177834026,426.3683,-0.03401794368069397,0.6009715
157,100158.86185611,234.9116,매수,0.0023138300177834026,426.3683,-0.020935278866384185,0.73681957
158,100205.08017983001,235.02,매수,0.0023138300177834026,426.3683,0.023072508444837346,0.8481442
159,100247.71700983001,235.12,매수,0.0023138300177834026,426.3683,0.021274784633416893,0.7832077
160,100155.96255167,234.9048,매수,0.0023138300177834026,426.3683,-0.04576386420401547,0.70126206
161,100138.0977199,234.8629,매수,0.0023138300177834026,426.3683,-0.008918506354917519,0.34616345
162,100101.64323025002,234.7774,매수,0.0023138300177834026,426.3683,-0.01820210812869379,1.3378755
163,100098.48810483002,234.77,매수,0.0023138300177834026,426.3683,-0.0015759608524831357,1.2233173
164,100098.48810483002,234.77,매수,0.0023138300177834026,426.3683,0.0,1.8753158
165,100096.35626333,234.765,매수,0.0023138300177834026,426.3683,-0.0010648719777768476,1.2563809
166,100132.59756883001,234.85,매수,0.0023138300177834026,426.3683,0.01810320917410052,1.9411025
167,100038.79654283001,234.63,매수,0.0023138300177834026,426.3683,-0.04683840641181971,0.44334435
168,100030.26917683001,234.61,매수,0.0023138300177834026,426.3683,-0.0042620294799048004,0.870517
169,99991.93866666002,234.5201,매수,0.0023138300177834026,426.3683,-0.019159455675479546,0.963376
170,100007.24528863002,234.556,매수,0.0023138300177834026,426.3683,0.007653927993647995,1.103829
171,100021.74181083002,234.59,매수,0.0023138300177834026,426.3683,0.007247735980610463,1.2034401
172,100000.42339583,234.54,매수,0.0023138300177834026,426.3683,-0.010656890499035388,1.3009043
173,100008.95076183001,234.56,매수,0.0023138300177834026,426.3683,0.004263664947825081,1.550011
174,100085.69705583001,234.74,매수,0.0023138300177834026,426.3683,0.03836971261840709,0.71041244
175,100053.71943333001,234.665,매수,0.0023138300177834026,426.3683,-0.015975121041599594,0.58939224
176,100034.53285983001,234.62,매수,0.0023138300177834026,426.3683,-0.009588136057644348,0.884897
177,100000.42339583,234.54,매수,0.0023138300177834026,426.3683,-0.0170488445464143,0.36560458
178,100000.42339583,234.54,매수,0.0023138300177834026,426.3683,0.0,0.27677408
179,100032.40101833001,234.615,매수,0.0023138300177834026,426.3683,0.01598874355433132,0.3234655
180,99981.23682233001,234.495,매수,0.0023138300177834026,426.3683,-0.025573811824542,0.4692628
181,100053.71943333001,234.665,매수,0.0023138300177834026,426.3683,0.036248106796679995,0.36040297
182,99969.29850993001,234.467,매수,0.0023138300177834026,426.3683,-0.04218779865362931,0.13131364
183,99893.83132083001,234.29,매수,0.0023138300177834026,426.3683,-0.037745182883576624,0.25940517
184,99855.03180553002,234.199,매수,0.0023138300177834026,426.3683,-0.019420376006693052,0.6757342
185,99860.44668294002,234.2117,매수,0.0023138300177834026,426.3683,0.0027113693281619997,0.48286244
186,99898.09500383002,234.3,매수,0.0023138300177834026,426.3683,0.018850466896837156,0.3824837
187,99949.25919983,234.42,매수,0.0023138300177834026,426.3683,0.025608194029136264,0.2786366
188,99938.59999233001,234.395,매수,0.0023138300177834026,426.3683,-0.005332309406457126,0.45806167
189,99955.65472433002,234.435,매수,0.0023138300177834026,426.3683,0.008532605020138891,0.17306189
190,99970.57761483,234.47,매수,0.0023138300177834026,426.3683,0.007464755516407291,0.12396583
